scenario,variant,iter,op,cycles,time_us,energy_uj,heap_free,heap_min,stack_hwm_bytes
s2,ML-KEM-512,24,decaps,1810442,11317,3017,348192,346636,22364
s2,ML-KEM-512,25,keygen,1254550,7842,1901,348192,346636,22364
s2,ML-KEM-512,25,encaps,1488187,9302,2454,348192,346636,22364
s2,ML-KEM-512,25,decaps,1814686,11343,3111,348192,346636,22364
s2,ML-KEM-512,26,keygen,1257289,7860,2385,348192,346636,22364
s2,ML-KEM-512,26,encaps,1491773,9324,2605,348192,346636,22364
s2,ML-KEM-512,26,decaps,1811775,11324,3124,348192,346636,22364
s2,ML-KEM-512,27,keygen,1253779,7839,1964,348192,346636,22364
s2,ML-KEM-512,27,encaps,1489531,9311,2611,348192,346636,22364
s2,ML-KEM-512,27,decaps,1812702,11331,3180,348192,346636,22364
s2,ML-KEM-512,28,keygen,1256197,7853,1988,348192,346636,22364
s2,ML-KEM-512,28,encaps,1489060,9308,2416,348192,346636,22364
s2,ML-KEM-512,28,decaps,1811543,11324,3163,348192,346636,22364
s2,ML-KEM-512,29,keygen,1253569,7837,2061,348192,346636,22364
s2,ML-KEM-512,29,encaps,1490365,9316,2722,348192,346636,22364
s2,ML-KEM-512,29,decaps,1812106,11327,3099,348192,346636,22364
s2,ML-KEM-512,30,keygen,1277945,7989,2124,348192,346636,22364
s2,ML-KEM-512,30,encaps,1513481,9461,2703,348192,346636,22364
s2,ML-KEM-512,30,decaps,1833814,11462,3036,348192,346636,22364
s2,ML-KEM-512,31,keygen,1253801,7838,1995,348192,346636,22364
s2,ML-KEM-512,31,encaps,1489935,9314,2535,348192,346636,22364
s2,ML-KEM-512,31,decaps,1812624,11330,3134,348192,346636,22364
s2,ML-KEM-512,32,keygen,1255127,7847,1961,348192,346636,22364
s2,ML-KEM-512,32,encaps,1490313,9316,2606,348192,346636,22364
s2,ML-KEM-512,32,decaps,1815377,11347,3171,348192,346636,22364
s2,ML-KEM-512,33,keygen,1256209,7854,1990,348192,346636,22364
s2,ML-KEM-512,33,encaps,1490633,9318,2728,348192,346636,22364
s2,ML-KEM-512,33,decaps,1813204,11334,3204,348192,346636,22364
s2,ML-KEM-512,34,keygen,1255351,7848,2081,348192,346636,22364
s2,ML-KEM-512,34,encaps,1491290,9322,2457,348192,346636,22364
s2,ML-KEM-512,34,decaps,1812190,11327,3024,348192,346636,22364
s2,ML-KEM-512,35,keygen,1253301,7835,1981,348192,346636,22364
s2,ML-KEM-512,35,encaps,1490083,9314,2580,348192,346636,22364
s2,ML-KEM-512,35,decaps,1812324,11328,2997,348192,346636,22364
s2,ML-KEM-512,36,keygen,1255373,7848,1948,348192,346636,22364
s2,ML-KEM-512,36,encaps,1488773,9306,2475,348192,346636,22364
s2,ML-KEM-512,36,decaps,1811598,11323,3055,348192,346636,22364
s2,ML-KEM-512,37,keygen,1253547,7837,1836,348192,346636,22364
s2,ML-KEM-512,37,encaps,1487544,9298,2494,348192,346636,22364
s2,ML-KEM-512,37,decaps,1810758,11318,3061,348192,346636,22364
s2,ML-KEM-512,38,keygen,1254803,7844,1816,348192,346636,22364
s2,ML-KEM-512,38,encaps,1490124,9314,2544,348192,346636,22364
s2,ML-KEM-512,38,decaps,1812678,11331,2975,348192,346636,22364
s2,ML-KEM-512,39,keygen,1260411,7879,2445,348192,346636,22364
s2,ML-KEM-512,39,encaps,1493191,9334,2657,348192,346636,22364
s2,ML-KEM-512,39,decaps,1812256,11327,3114,348192,346636,22364
s2,ML-KEM-512,40,keygen,1255259,7847,2052,348192,346636,22364
s2,ML-KEM-512,40,encaps,1490819,9319,2614,348192,346636,22364
s2,ML-KEM-512,40,decaps,1812954,11332,3114,348192,346636,22364
s2,ML-KEM-512,41,keygen,1255895,7851,2030,348192,346636,22364
s2,ML-KEM-512,41,encaps,1489675,9312,2337,348192,346636,22364
s2,ML-KEM-512,41,decaps,1810984,11320,3175,348192,346636,22364
s2,ML-KEM-512,42,keygen,1256733,7856,1990,348192,346636,22364
s2,ML-KEM-512,42,encaps,1491131,9321,2624,348192,346636,22364
s2,ML-KEM-512,42,decaps,1812480,11329,3209,348192,346636,22364
s2,ML-KEM-512,43,keygen,1256633,7856,2011,348192,346636,22364
s2,ML-KEM-512,43,encaps,1488833,9306,2446,348192,346636,22364
s2,ML-KEM-512,43,decaps,1812682,11331,3156,348192,346636,22364
s2,ML-KEM-512,44,keygen,1256317,7854,2069,348192,346636,22364
s2,ML-KEM-512,44,encaps,1490123,9314,2699,348192,346636,22364
s2,ML-KEM-512,44,decaps,1812500,11330,3173,348192,346636,22364
s2,ML-KEM-512,45,keygen,1256545,7855,2414,348192,346636,22364
s2,ML-KEM-512,45,encaps,1490897,9319,2624,348192,346636,22364
s2,ML-KEM-512,45,decaps,1814054,11339,3087,348192,346636,22364
s2,ML-KEM-512,46,keygen,1256751,7857,2036,348192,346636,22364
s2,ML-KEM-512,46,encaps,1489205,9308,2273,348192,346636,22364
s2,ML-KEM-512,46,decaps,1812864,11331,3089,348192,346636,22364
s2,ML-KEM-512,47,keygen,1254817,7845,1857,348192,346636,22364
s2,ML-KEM-512,47,encaps,1487761,9300,2506,348192,346636,22364
s2,ML-KEM-512,47,decaps,1810744,11318,3099,348192,346636,22364
s2,ML-KEM-512,48,keygen,1253597,7837,1844,348192,346636,22364
s2,ML-KEM-512,48,encaps,1489219,9309,2554,348192,346636,22364
s2,ML-KEM-512,48,decaps,1811044,11320,3016,348192,346636,22364
s2,ML-KEM-512,49,keygen,1254533,7842,1902,348192,346636,22364
s2,ML-KEM-512,49,encaps,1488187,9302,2459,348192,346636,22364
s2,ML-KEM-512,49,decaps,1815028,11345,3131,348192,346636,22364
s2,ML-KEM-512,50,keygen,1257199,7859,2388,348192,346636,22364
s2,ML-KEM-512,50,encaps,1491115,9321,2587,348192,346636,22364
s2,ML-KEM-512,50,decaps,1811179,11321,3122,348192,346636,22364
s2,ML-KEM-512,51,keygen,1276801,7982,1967,348192,346636,22364
s2,ML-KEM-512,51,encaps,1512155,9452,2587,348192,346636,22364
s2,ML-KEM-512,51,decaps,1834130,11464,3117,348192,346636,22364
s2,ML-KEM-512,52,keygen,1253845,7838,1830,348192,346636,22364
s2,ML-KEM-512,52,encaps,1487926,9301,2565,348192,346636,22364
s2,ML-KEM-512,52,decaps,1813190,11334,2998,348192,346636,22364
s2,ML-KEM-512,53,keygen,1281259,8010,2448,348192,346636,22364
s2,ML-KEM-512,53,encaps,1512229,9453,2631,348192,346636,22364
s2,ML-KEM-512,53,decaps,1833718,11462,3015,348192,346636,22364
s2,ML-KEM-512,54,keygen,1257091,7859,1876,348192,346636,22364
s2,ML-KEM-512,54,encaps,1489235,9309,2428,348192,346636,22364
s2,ML-KEM-512,54,decaps,1813764,11337,3160,348192,346636,22364
s2,ML-KEM-512,55,keygen,1256241,7853,2294,348192,346636,22364
s2,ML-KEM-512,55,encaps,1490993,9319,2629,348192,346636,22364
s2,ML-KEM-512,55,decaps,1813866,11338,3179,348192,346636,22364
s2,ML-KEM-512,56,keygen,1256857,7858,2014,348192,346636,22364
s2,ML-KEM-512,56,encaps,1489531,9311,2428,348192,346636,22364
s2,ML-KEM-512,56,decaps,1812332,11328,3076,348192,346636,22364
s2,ML-KEM-512,57,keygen,1251953,7827,1956,348192,346636,22364
s2,ML-KEM-512,57,encaps,1488279,9303,2612,348192,346636,22364
s2,ML-KEM-512,57,decaps,1810912,11319,2979,348192,346636,22364
s2,ML-KEM-512,58,keygen,1254813,7844,1956,348192,346636,22364
s2,ML-KEM-512,58,encaps,1488083,9301,2568,348192,346636,22364
s2,ML-KEM-512,58,decaps,1810626,11317,2961,348192,346636,22364
s2,ML-KEM-512,59,keygen,1253469,7836,1919,348192,346636,22364
s2,ML-KEM-512,59,encaps,1489732,9312,2453,348192,346636,22364
s2,ML-KEM-512,59,decaps,1810580,11317,3035,348192,346636,22364
s2,ML-KEM-512,60,keygen,1256073,7852,1826,348192,346636,22364
s2,ML-KEM-512,60,encaps,1489039,9307,2501,348192,346636,22364
s2,ML-KEM-512,60,decaps,1813096,11333,3022,348192,346636,22364
s2,ML-KEM-512,61,keygen,1260819,7882,2059,348192,346636,22364
s2,ML-KEM-512,61,encaps,1489662,9311,2452,348192,346636,22364
s2,ML-KEM-512,61,decaps,1812690,11330,3183,348192,346636,22364
s2,ML-KEM-512,62,keygen,1257303,7860,2092,348192,346636,22364
s2,ML-KEM-512,62,encaps,1490039,9313,2424,348192,346636,22364
s2,ML-KEM-512,62,decaps,1814050,11339,3069,348192,346636,22364
s2,ML-KEM-512,63,keygen,1257421,7861,2016,348192,346636,22364
s2,ML-KEM-512,63,encaps,1492951,9332,2557,348192,346636,22364
s2,ML-KEM-512,63,decaps,1812800,11331,3086,348192,346636,22364
s2,ML-KEM-512,64,keygen,1255187,7846,1976,348192,346636,22364
s2,ML-KEM-512,64,encaps,1489507,9310,2602,348192,346636,22364
s2,ML-KEM-512,64,decaps,1812890,11331,3189,348192,346636,22364
s2,ML-KEM-512,65,keygen,1256101,7852,2017,348192,346636,22364
s2,ML-KEM-512,65,encaps,1490125,9315,2363,348192,346636,22364
s2,ML-KEM-512,65,decaps,1811065,11321,3185,348192,346636,22364
s2,ML-KEM-512,66,keygen,1256971,7858,1977,348192,346636,22364
s2,ML-KEM-512,66,encaps,1491191,9321,2708,348192,346636,22364
s2,ML-KEM-512,66,decaps,1812476,11329,3162,348192,346636,22364
s2,ML-KEM-512,67,keygen,1254737,7844,2100,348192,346636,22364
s2,ML-KEM-512,67,encaps,1488991,9307,2447,348192,346636,22364
s2,ML-KEM-512,67,decaps,1812380,11328,3065,348192,346636,22364
s2,ML-KEM-512,68,keygen,1256805,7857,2061,348192,346636,22364
s2,ML-KEM-512,68,encaps,1489409,9309,2625,348192,346636,22364
s2,ML-KEM-512,68,decaps,1812430,11329,3134,348192,346636,22364
