scenario,variant,iter,op,cycles,time_us,energy_uj,heap_free,heap_min,stack_hwm_bytes
s2,ML-KEM-512,24,decaps,1718758,10743,3067,348192,346636,22348
s2,ML-KEM-512,25,keygen,1211545,7574,2010,348192,346636,22348
s2,ML-KEM-512,25,encaps,1424799,8909,2442,348192,346636,22348
s2,ML-KEM-512,25,decaps,1723706,10774,3070,348192,346636,22348
s2,ML-KEM-512,26,keygen,1232077,7703,1965,348192,346636,22348
s2,ML-KEM-512,26,encaps,1451892,9078,2775,348192,346636,22348
s2,ML-KEM-512,26,decaps,1747186,10921,3344,348192,346636,22348
s2,ML-KEM-512,27,keygen,1212195,7578,1996,348192,346636,22348
s2,ML-KEM-512,27,encaps,1426536,8919,2463,348192,346636,22348
s2,ML-KEM-512,27,decaps,1726172,10790,3259,348192,346636,22348
s2,ML-KEM-512,28,keygen,1208655,7556,2022,348192,346636,22348
s2,ML-KEM-512,28,encaps,1428002,8929,2452,348192,346636,22348
s2,ML-KEM-512,28,decaps,1721944,10763,2685,348192,346636,22348
s2,ML-KEM-512,29,keygen,1213185,7584,2088,348192,346636,22348
s2,ML-KEM-512,29,encaps,1425463,8913,2511,348192,346636,22348
s2,ML-KEM-512,29,decaps,1721834,10763,2991,348192,346636,22348
s2,ML-KEM-512,30,keygen,1207879,7551,2019,348192,346636,22348
s2,ML-KEM-512,30,encaps,1427768,8928,2738,348192,346636,22348
s2,ML-KEM-512,30,decaps,1721530,10761,2699,348192,346636,22348
s2,ML-KEM-512,31,keygen,1215311,7597,2138,348192,346636,22348
s2,ML-KEM-512,31,encaps,1426745,8921,2562,348192,346636,22348
s2,ML-KEM-512,31,decaps,1728386,10803,3074,348192,346636,22348
s2,ML-KEM-512,32,keygen,1208557,7555,1916,348192,346636,22348
s2,ML-KEM-512,32,encaps,1430822,8947,2559,348192,346636,22348
s2,ML-KEM-512,32,decaps,1724812,10781,3169,348192,346636,22348
s2,ML-KEM-512,33,keygen,1210869,7570,1949,348192,346636,22348
s2,ML-KEM-512,33,encaps,1429270,8937,2684,348192,346636,22348
s2,ML-KEM-512,33,decaps,1728892,10806,3232,348192,346636,22348
s2,ML-KEM-512,34,keygen,1212639,7581,2049,348192,346636,22348
s2,ML-KEM-512,34,encaps,1428306,8931,2446,348192,346636,22348
s2,ML-KEM-512,34,decaps,1721648,10762,2650,348192,346636,22348
s2,ML-KEM-512,35,keygen,1212293,7579,2115,348192,346636,22348
s2,ML-KEM-512,35,encaps,1426069,8917,2485,348192,346636,22348
s2,ML-KEM-512,35,decaps,1721606,10761,2992,348192,346636,22348
s2,ML-KEM-512,36,keygen,1211839,7576,2098,348192,346636,22348
s2,ML-KEM-512,36,encaps,1429201,8936,2428,348192,346636,22348
