scenario,variant,iter,op,cycles,time_us,energy_uj,heap_free,heap_min,stack_hwm_bytes
s2,ML-KEM-1024,0,keygen,3037048,18982,5474,345056,344844,11324
s2,ML-KEM-1024,0,encaps,3474317,21716,6016,345056,344844,11324
s2,ML-KEM-1024,0,decaps,4013433,25086,7286,345056,344844,11324
s2,ML-KEM-1024,1,keygen,3039758,19000,5568,345056,344844,11324
s2,ML-KEM-1024,1,encaps,3468595,21680,5998,345056,344844,11324
s2,ML-KEM-1024,1,decaps,4013537,25087,7367,345056,344844,11324
s2,ML-KEM-1024,2,keygen,3040156,19002,5568,345056,344844,11324
s2,ML-KEM-1024,2,encaps,3471409,21698,6010,345056,344844,11324
s2,ML-KEM-1024,2,decaps,4012861,25082,7363,345056,344844,11324
s2,ML-KEM-1024,3,keygen,3038792,18994,5530,345056,344844,11324
s2,ML-KEM-1024,3,encaps,3468607,21680,6095,345056,344844,11324
s2,ML-KEM-1024,3,decaps,4014929,25095,7370,345056,344844,11324
s2,ML-KEM-1024,4,keygen,3039144,18995,5602,345056,344844,11324
s2,ML-KEM-1024,4,encaps,3471641,21699,6033,345056,344844,11324
s2,ML-KEM-1024,4,decaps,4010589,25069,7216,345056,344844,11324
s2,ML-KEM-1024,5,keygen,3038354,18991,5481,345056,344844,11324
s2,ML-KEM-1024,5,encaps,3468230,21678,6023,345056,344844,11324
s2,ML-KEM-1024,5,decaps,4012731,25081,7339,345056,344844,11324
s2,ML-KEM-1024,6,keygen,3039554,18999,5635,345056,344844,11324
s2,ML-KEM-1024,6,encaps,3471489,21698,6195,345056,344844,11324
s2,ML-KEM-1024,6,decaps,4014897,25095,7554,345056,344844,11324
s2,ML-KEM-1024,7,keygen,3083990,19276,5690,345056,344844,11324
s2,ML-KEM-1024,7,encaps,3514919,21970,6402,345056,344844,11324
s2,ML-KEM-1024,7,decaps,4055915,25351,7444,345056,344844,11324
s2,ML-KEM-1024,8,keygen,3037519,18986,5514,345056,344844,11324
s2,ML-KEM-1024,8,encaps,3472487,21704,6198,345056,344844,11324
s2,ML-KEM-1024,8,decaps,4012417,25080,7353,345056,344844,11324
s2,ML-KEM-1024,9,keygen,3044820,19031,5652,345056,344844,11324
s2,ML-KEM-1024,9,encaps,3471617,21699,6216,345056,344844,11324
s2,ML-KEM-1024,9,decaps,4012944,25090,7273,345056,344844,11324
s2,ML-KEM-1024,10,keygen,3043210,19021,5771,345056,344844,11324
s2,ML-KEM-1024,10,encaps,3471476,21698,6165,345056,344844,11324
s2,ML-KEM-1024,10,decaps,4012507,25080,7325,345056,344844,11324
s2,ML-KEM-1024,11,keygen,3043406,19022,5641,345056,344844,11324
s2,ML-KEM-1024,11,encaps,3470313,21690,6184,345056,344844,11324
s2,ML-KEM-1024,11,decaps,4013193,25085,7264,345056,344844,11324
s2,ML-KEM-1024,12,keygen,3043894,19026,5760,345056,344844,11324
s2,ML-KEM-1024,12,encaps,3472099,21702,6173,345056,344844,11324
s2,ML-KEM-1024,12,decaps,4013001,25084,7312,345056,344844,11324
s2,ML-KEM-1024,13,keygen,3042808,19018,5647,345056,344844,11324
s2,ML-KEM-1024,13,encaps,3470173,21690,6171,345056,344844,11324
s2,ML-KEM-1024,13,decaps,4012749,25082,7272,345056,344844,11324
s2,ML-KEM-1024,14,keygen,3043708,19024,5755,345056,344844,11324
s2,ML-KEM-1024,14,encaps,3472783,21706,6158,345056,344844,11324
s2,ML-KEM-1024,14,decaps,4012999,25083,7311,345056,344844,11324
s2,ML-KEM-1024,15,keygen,3044374,19028,5646,345056,344844,11324
s2,ML-KEM-1024,15,encaps,3471717,21700,6174,345056,344844,11324
s2,ML-KEM-1024,15,decaps,4014809,25095,7234,345056,344844,11324
s2,ML-KEM-1024,16,keygen,3042946,19019,5759,345056,344844,11324
