scenario,variant,iter,op,cycles,time_us,energy_uj,heap_free,heap_min,stack_hwm_bytes
s2,ML-KEM-512,0,keygen,1246051,7790,2067,348192,346636,22412
s2,ML-KEM-512,0,encaps,1494504,9342,2398,348192,346636,22412
s2,ML-KEM-512,0,decaps,1810187,11315,3060,348192,346636,22412
s2,ML-KEM-512,1,keygen,1257473,7861,1973,348192,346636,22412
s2,ML-KEM-512,1,encaps,1489539,9310,2618,348192,346636,22412
s2,ML-KEM-512,1,decaps,1812728,11330,3208,348192,346636,22364
s2,ML-KEM-512,2,keygen,1255077,7846,2236,348192,346636,22364
s2,ML-KEM-512,2,encaps,1490623,9317,2594,348192,346636,22364
s2,ML-KEM-512,2,decaps,1809878,11313,3184,348192,346636,22364
s2,ML-KEM-512,3,keygen,1257157,7860,1950,348192,346636,22364
s2,ML-KEM-512,3,encaps,1489409,9310,2663,348192,346636,22364
s2,ML-KEM-512,3,decaps,1813710,11337,3143,348192,346636,22364
s2,ML-KEM-512,4,keygen,1255709,7850,2083,348192,346636,22364
s2,ML-KEM-512,4,encaps,1489771,9312,2451,348192,346636,22364
s2,ML-KEM-512,4,decaps,1812286,11328,2997,348192,346636,22364
s2,ML-KEM-512,5,keygen,1254357,7841,1915,348192,346636,22364
s2,ML-KEM-512,5,encaps,1488431,9304,2561,348192,346636,22364
s2,ML-KEM-512,5,decaps,1809392,11309,3015,348192,346636,22364
s2,ML-KEM-512,6,keygen,1253423,7836,1925,348192,346636,22364
s2,ML-KEM-512,6,encaps,1488460,9304,2436,348192,346636,22364
s2,ML-KEM-512,6,decaps,1808836,11306,3065,348192,346636,22364
s2,ML-KEM-512,7,keygen,1253433,7836,1864,348192,346636,22364
s2,ML-KEM-512,7,encaps,1489728,9311,2519,348192,346636,22364
s2,ML-KEM-512,7,decaps,1809452,11310,3039,348192,346636,22364
s2,ML-KEM-512,8,keygen,1256875,7857,1798,348192,346636,22364
s2,ML-KEM-512,8,encaps,1487839,9300,2560,348192,346636,22364
s2,ML-KEM-512,8,decaps,1811850,11325,2972,348192,346636,22364
s2,ML-KEM-512,9,keygen,1256703,7856,2424,348192,346636,22364
