scenario,variant,iter,op,cycles,time_us,energy_uj,heap_free,heap_min,stack_hwm_bytes
s2,ML-KEM-512,24,decaps,1722420,10767,2725,348192,346636,22348
s2,ML-KEM-512,25,keygen,1212797,7582,2012,348192,346636,22348
s2,ML-KEM-512,25,encaps,1425867,8915,2515,348192,346636,22348
s2,ML-KEM-512,25,decaps,1727236,10797,3154,348192,346636,22348
s2,ML-KEM-512,26,keygen,1208957,7558,1872,348192,346636,22348
s2,ML-KEM-512,26,encaps,1429769,8940,2522,348192,346636,22348
s2,ML-KEM-512,26,decaps,1723298,10772,3109,348192,346636,22348
s2,ML-KEM-512,27,keygen,1211423,7573,1926,348192,346636,22348
s2,ML-KEM-512,27,encaps,1429668,8939,2669,348192,346636,22348
s2,ML-KEM-512,27,decaps,1729916,10813,3265,348192,346636,22348
s2,ML-KEM-512,28,keygen,1212351,7579,1983,348192,346636,22348
s2,ML-KEM-512,28,encaps,1428146,8930,2451,348192,346636,22348
s2,ML-KEM-512,28,decaps,1721766,10762,2639,348192,346636,22348
s2,ML-KEM-512,29,keygen,1212305,7579,2116,348192,346636,22348
s2,ML-KEM-512,29,encaps,1425809,8915,2476,348192,346636,22348
s2,ML-KEM-512,29,decaps,1721142,10759,2974,348192,346636,22348
s2,ML-KEM-512,30,keygen,1211021,7571,2108,348192,346636,22348
s2,ML-KEM-512,30,encaps,1428181,8930,2519,348192,346636,22348
s2,ML-KEM-512,30,decaps,1718630,10742,2949,348192,346636,22348
s2,ML-KEM-512,31,keygen,1212787,7582,2079,348192,346636,22348
s2,ML-KEM-512,31,encaps,1424717,8909,2467,348192,346636,22348
s2,ML-KEM-512,31,decaps,1722546,10767,3030,348192,346636,22348
s2,ML-KEM-512,32,keygen,1212609,7581,2065,348192,346636,22348
s2,ML-KEM-512,32,encaps,1428907,8935,2443,348192,346636,22348
s2,ML-KEM-512,32,decaps,1719548,10748,2909,348192,346636,22348
s2,ML-KEM-512,33,keygen,1214537,7592,2081,348192,346636,22348
s2,ML-KEM-512,33,encaps,1425723,8914,2438,348192,346636,22348
s2,ML-KEM-512,33,decaps,1723326,10772,2956,348192,346636,22348
s2,ML-KEM-512,34,keygen,1213073,7583,2033,348192,346636,22348
s2,ML-KEM-512,34,encaps,1425489,8914,2305,348192,346636,22348
s2,ML-KEM-512,34,decaps,1721494,10761,2718,348192,346636,22348
s2,ML-KEM-512,35,keygen,1213901,7589,1991,348192,346636,22348
s2,ML-KEM-512,35,encaps,1426747,8921,2444,348192,346636,22348
s2,ML-KEM-512,35,decaps,1728992,10807,3090,348192,346636,22348
