scenario,variant,iter,op,cycles,time_us,energy_uj,heap_free,heap_min,stack_hwm_bytes
s2,ML-KEM-768,24,decaps,2772018,17326,4836,346688,346476,17436
s2,ML-KEM-768,25,keygen,1990659,12444,3695,346688,346476,17436
s2,ML-KEM-768,25,encaps,2346587,14668,4258,346688,346476,17436
s2,ML-KEM-768,25,decaps,2777408,17360,4899,346688,346476,17436
s2,ML-KEM-768,26,keygen,1991089,12447,3562,346688,346476,17436
s2,ML-KEM-768,26,encaps,2351129,14696,4241,346688,346476,17436
s2,ML-KEM-768,26,decaps,2775624,17349,5020,346688,346476,17436
s2,ML-KEM-768,27,keygen,1992219,12453,3688,346688,346476,17436
s2,ML-KEM-768,27,encaps,2347282,14673,4188,346688,346476,17436
s2,ML-KEM-768,27,decaps,2775608,17348,4880,346688,346476,17436
s2,ML-KEM-768,28,keygen,1989775,12439,3265,346688,346476,17436
s2,ML-KEM-768,28,encaps,2352273,14703,4368,346688,346476,17436
s2,ML-KEM-768,28,decaps,2772086,17327,4778,346688,346476,17436
s2,ML-KEM-768,29,keygen,1991945,12451,3754,346688,346476,17436
s2,ML-KEM-768,29,encaps,2346612,14668,4209,346688,346476,17436
s2,ML-KEM-768,29,decaps,2776806,17356,4916,346688,346476,17436
s2,ML-KEM-768,30,keygen,1989495,12436,3618,346688,346476,17436
s2,ML-KEM-768,30,encaps,2349619,14687,4255,346688,346476,17436
s2,ML-KEM-768,30,decaps,2774712,17343,4985,346688,346476,17436
s2,ML-KEM-768,31,keygen,1991781,12451,3726,346688,346476,17436
s2,ML-KEM-768,31,encaps,2346144,14665,4231,346688,346476,17436
s2,ML-KEM-768,31,decaps,2775290,17347,4860,346688,346476,17436
s2,ML-KEM-768,32,keygen,2012181,12578,3290,346688,346476,17436
s2,ML-KEM-768,32,encaps,2370922,14820,4350,346688,346476,17436
s2,ML-KEM-768,32,decaps,2796940,17482,5039,346688,346476,17436
s2,ML-KEM-768,33,keygen,1991464,12456,3679,346688,346476,17436
s2,ML-KEM-768,33,encaps,2348737,14681,4475,346688,346476,17436
s2,ML-KEM-768,33,decaps,2772220,17327,4880,346688,346476,17436
s2,ML-KEM-768,34,keygen,1988976,12433,3196,346688,346476,17436
s2,ML-KEM-768,34,encaps,2348107,14677,4351,346688,346476,17436
s2,ML-KEM-768,34,decaps,2776508,17354,5091,346688,346476,17436
s2,ML-KEM-768,35,keygen,1992043,12453,3728,346688,346476,17436
s2,ML-KEM-768,35,encaps,2346432,14667,4255,346688,346476,17436
s2,ML-KEM-768,35,decaps,2775788,17350,4951,346688,346476,17436
s2,ML-KEM-768,36,keygen,1991511,12449,3279,346688,346476,17436
s2,ML-KEM-768,36,encaps,2352221,14703,4390,346688,346476,17436
s2,ML-KEM-768,36,decaps,2774778,17343,4872,346688,346476,17436
s2,ML-KEM-768,37,keygen,1992441,12455,3636,346688,346476,17436
s2,ML-KEM-768,37,encaps,2350929,14695,4446,346688,346476,17436
s2,ML-KEM-768,37,decaps,2773054,17333,4907,346688,346476,17436
s2,ML-KEM-768,38,keygen,1991321,12448,3697,346688,346476,17436
s2,ML-KEM-768,38,encaps,2348669,14681,4308,346688,346476,17436
s2,ML-KEM-768,38,decaps,2774426,17341,5017,346688,346476,17436
s2,ML-KEM-768,39,keygen,1990427,12442,3465,346688,346476,17436
s2,ML-KEM-768,39,encaps,2348035,14677,4371,346688,346476,17436
s2,ML-KEM-768,39,decaps,2774516,17341,5135,346688,346476,17436
s2,ML-KEM-768,40,keygen,1992937,12458,3687,346688,346476,17436
s2,ML-KEM-768,40,encaps,2348556,14680,4252,346688,346476,17436
s2,ML-KEM-768,40,decaps,2773714,17337,4999,346688,346476,17436
s2,ML-KEM-768,41,keygen,2017387,12611,3208,346688,346476,17436
s2,ML-KEM-768,41,encaps,2371125,14821,4358,346688,346476,17436
s2,ML-KEM-768,41,decaps,2797654,17486,5091,346688,346476,17436
s2,ML-KEM-768,42,keygen,1989941,12439,3623,346688,346476,17436
s2,ML-KEM-768,42,encaps,2352531,14705,3786,346688,346476,17436
s2,ML-KEM-768,42,decaps,2774230,17340,4871,346688,346476,17436
s2,ML-KEM-768,43,keygen,1991019,12446,3105,346688,346476,17436
s2,ML-KEM-768,43,encaps,2348139,14678,4301,346688,346476,17436
s2,ML-KEM-768,43,decaps,2776258,17352,4987,346688,346476,17436
s2,ML-KEM-768,44,keygen,1990623,12443,3630,346688,346476,17436
s2,ML-KEM-768,44,encaps,2348480,14680,4204,346688,346476,17436
s2,ML-KEM-768,44,decaps,2776792,17356,4830,346688,346476,17436
s2,ML-KEM-768,45,keygen,1993229,12460,3178,346688,346476,17436
s2,ML-KEM-768,45,encaps,2350385,14692,4346,346688,346476,17436
s2,ML-KEM-768,45,decaps,2773484,17335,4797,346688,346476,17436
s2,ML-KEM-768,46,keygen,1991091,12446,3659,346688,346476,17436
s2,ML-KEM-768,46,encaps,2349198,14684,4191,346688,346476,17436
s2,ML-KEM-768,46,decaps,2775590,17349,4890,346688,346476,17436
s2,ML-KEM-768,47,keygen,1992335,12454,3283,346688,346476,17436
s2,ML-KEM-768,47,encaps,2349843,14689,4352,346688,346476,17436
s2,ML-KEM-768,47,decaps,2772656,17330,4778,346688,346476,17436
s2,ML-KEM-768,48,keygen,1991871,12451,3761,346688,346476,17436
s2,ML-KEM-768,48,encaps,2349872,14689,4196,346688,346476,17436
s2,ML-KEM-768,48,decaps,2775440,17347,4876,346688,346476,17436
s2,ML-KEM-768,49,keygen,1994992,12471,3297,346688,346476,17436
