scenario,variant,iter,op,cycles,time_us,energy_uj,heap_free,heap_min,stack_hwm_bytes
s2,ML-KEM-1024,0,keygen,2906342,18166,4830,345056,344844,11308
s2,ML-KEM-1024,0,encaps,3318238,20741,5942,345056,344844,11308
s2,ML-KEM-1024,0,decaps,3806671,23793,6608,345056,344844,11308
s2,ML-KEM-1024,1,keygen,2920372,18253,4983,345056,344844,11308
s2,ML-KEM-1024,1,encaps,3317352,20735,5568,345056,344844,11308
s2,ML-KEM-1024,1,decaps,3808027,23802,6755,345056,344844,11308
s2,ML-KEM-1024,2,keygen,2917872,18237,4949,345056,344844,11308
s2,ML-KEM-1024,2,encaps,3319902,20751,5912,345056,344844,11308
s2,ML-KEM-1024,2,decaps,3805493,23786,6672,345056,344844,11308
s2,ML-KEM-1024,3,keygen,2917746,18237,4984,345056,344844,11308
s2,ML-KEM-1024,3,encaps,3315748,20725,5864,345056,344844,11308
s2,ML-KEM-1024,3,decaps,3806925,23795,6725,345056,344844,11308
s2,ML-KEM-1024,4,keygen,2917712,18237,4982,345056,344844,11308
s2,ML-KEM-1024,4,encaps,3319148,20746,5801,345056,344844,11308
s2,ML-KEM-1024,4,decaps,3805231,23784,6723,345056,344844,11308
s2,ML-KEM-1024,5,keygen,2920454,18254,4825,345056,344844,11308
s2,ML-KEM-1024,5,encaps,3316798,20731,5925,345056,344844,11308
s2,ML-KEM-1024,5,decaps,3807183,23797,6728,345056,344844,11308
s2,ML-KEM-1024,6,keygen,2915232,18222,4913,345056,344844,11308
s2,ML-KEM-1024,6,encaps,3320666,20756,5684,345056,344844,11308
s2,ML-KEM-1024,6,decaps,3805419,23786,6798,345056,344844,11308
s2,ML-KEM-1024,7,keygen,2918362,18241,5000,345056,344844,11308
s2,ML-KEM-1024,7,encaps,3316220,20727,6030,345056,344844,11308
s2,ML-KEM-1024,7,decaps,3808181,23803,6763,345056,344844,11308
s2,ML-KEM-1024,8,keygen,2917082,18233,5051,345056,344844,11308
s2,ML-KEM-1024,8,encaps,3319782,20750,6006,345056,344844,11308
s2,ML-KEM-1024,8,decaps,3804831,23782,6756,345056,344844,11308
s2,ML-KEM-1024,9,keygen,2941958,18388,5021,345056,344844,11308
s2,ML-KEM-1024,9,encaps,3341908,20888,6202,345056,344844,11308
s2,ML-KEM-1024,9,decaps,3830339,23941,6689,345056,344844,11308
s2,ML-KEM-1024,10,keygen,2918229,18240,4913,345056,344844,11308
s2,ML-KEM-1024,10,encaps,3321520,20761,6160,345056,344844,11308
s2,ML-KEM-1024,10,decaps,3805727,23788,6721,345056,344844,11308
s2,ML-KEM-1024,11,keygen,2919356,18247,4926,345056,344844,11308
s2,ML-KEM-1024,11,encaps,3322024,20764,6207,345056,344844,11308
s2,ML-KEM-1024,11,decaps,3806566,23793,6729,345056,344844,11308
s2,ML-KEM-1024,12,keygen,2916954,18232,4875,345056,344844,11308
s2,ML-KEM-1024,12,encaps,3319257,20746,5676,345056,344844,11308
s2,ML-KEM-1024,12,decaps,3805667,23787,6779,345056,344844,11308
s2,ML-KEM-1024,13,keygen,2919742,18249,4923,345056,344844,11308
s2,ML-KEM-1024,13,encaps,3319248,20747,5705,345056,344844,11308
s2,ML-KEM-1024,13,decaps,3806087,23790,6778,345056,344844,11308
s2,ML-KEM-1024,14,keygen,2916628,18230,4989,345056,344844,11308
s2,ML-KEM-1024,14,encaps,3317570,20736,6020,345056,344844,11308
s2,ML-KEM-1024,14,decaps,3806819,23795,6718,345056,344844,11308
s2,ML-KEM-1024,15,keygen,2917142,18233,5054,345056,344844,11308
s2,ML-KEM-1024,15,encaps,3316508,20729,5997,345056,344844,11308
s2,ML-KEM-1024,15,decaps,3806691,23794,6758,345056,344844,11308
s2,ML-KEM-1024,16,keygen,2916850,18232,5020,345056,344844,11308
s2,ML-KEM-1024,16,encaps,3316890,20732,5939,345056,344844,11308
s2,ML-KEM-1024,16,decaps,3805271,23784,6732,345056,344844,11308
s2,ML-KEM-1024,17,keygen,2920200,18253,5037,345056,344844,11308
s2,ML-KEM-1024,17,encaps,3318441,20741,5601,345056,344844,11308
s2,ML-KEM-1024,17,decaps,3806145,23790,6816,345056,344844,11308
s2,ML-KEM-1024,18,keygen,2916630,18230,5040,345056,344844,11308
s2,ML-KEM-1024,18,encaps,3317720,20737,5957,345056,344844,11308
s2,ML-KEM-1024,18,decaps,3804595,23781,6803,345056,344844,11308
s2,ML-KEM-1024,19,keygen,2940180,18377,4927,345056,344844,11308
s2,ML-KEM-1024,19,encaps,3341390,20885,6303,345056,344844,11308
s2,ML-KEM-1024,19,decaps,3828991,23933,6738,345056,344844,11308
s2,ML-KEM-1024,20,keygen,2916424,18228,4864,345056,344844,11308
s2,ML-KEM-1024,20,encaps,3321634,20761,6225,345056,344844,11308
s2,ML-KEM-1024,20,decaps,3808049,23802,6733,345056,344844,11308
s2,ML-KEM-1024,21,keygen,2918812,18243,4925,345056,344844,11308
s2,ML-KEM-1024,21,encaps,3317842,20738,5699,345056,344844,11308
s2,ML-KEM-1024,21,decaps,3807505,23799,6732,345056,344844,11308
s2,ML-KEM-1024,22,keygen,2918472,18241,5044,345056,344844,11308
s2,ML-KEM-1024,22,encaps,3319534,20749,6008,345056,344844,11308
s2,ML-KEM-1024,22,decaps,3806381,23792,6742,345056,344844,11308
s2,ML-KEM-1024,23,keygen,2917936,18238,5018,345056,344844,11308
s2,ML-KEM-1024,23,encaps,3316846,20732,5576,345056,344844,11308
s2,ML-KEM-1024,23,decaps,3805979,23789,6768,345056,344844,11308
s2,ML-KEM-1024,24,keygen,2916874,18232,5095,345056,344844,11308
s2,ML-KEM-1024,24,encaps,3318336,20741,5948,345056,344844,11308
s2,ML-KEM-1024,24,decaps,3805825,23788,6829,345056,344844,11308
s2,ML-KEM-1024,25,keygen,2941221,18384,5008,345056,344844,11308
s2,ML-KEM-1024,25,encaps,3340986,20882,6273,345056,344844,11308
s2,ML-KEM-1024,25,decaps,3829411,23935,6747,345056,344844,11308
s2,ML-KEM-1024,26,keygen,2915102,18221,4860,345056,344844,11308
s2,ML-KEM-1024,26,encaps,3321148,20758,6265,345056,344844,11308
s2,ML-KEM-1024,26,decaps,3807035,23796,6748,345056,344844,11308
s2,ML-KEM-1024,27,keygen,2939330,18371,4916,345056,344844,11308
s2,ML-KEM-1024,27,encaps,3342240,20890,6217,345056,344844,11308
s2,ML-KEM-1024,27,decaps,3828565,23931,6687,345056,344844,11308
s2,ML-KEM-1024,28,keygen,2916761,18231,4889,345056,344844,11308
s2,ML-KEM-1024,28,encaps,3320654,20755,6226,345056,344844,11308
s2,ML-KEM-1024,28,decaps,3806205,23790,6639,345056,344844,11308
s2,ML-KEM-1024,29,keygen,2918876,18244,4996,345056,344844,11308
s2,ML-KEM-1024,29,encaps,3323816,20775,6191,345056,344844,11308
s2,ML-KEM-1024,29,decaps,3806202,23790,6725,345056,344844,11308
