scenario,variant,iter,op,cycles,time_us,energy_uj,heap_free,heap_min,stack_hwm_bytes
s2,ML-KEM-768,0,keygen,1910462,11943,3438,346688,346476,17420
s2,ML-KEM-768,0,encaps,2248664,14056,3720,346688,346476,17420
s2,ML-KEM-768,0,decaps,2637231,16484,4185,346688,346476,17420
s2,ML-KEM-768,1,keygen,1914470,11967,3036,346688,346476,17420
s2,ML-KEM-768,1,encaps,2242432,14017,3565,346688,346476,17420
s2,ML-KEM-768,1,decaps,2641825,16512,4146,346688,346476,17420
s2,ML-KEM-768,2,keygen,1913670,11963,3460,346688,346476,17420
s2,ML-KEM-768,2,encaps,2243490,14024,3667,346688,346476,17420
s2,ML-KEM-768,2,decaps,2637872,16488,4563,346688,346476,17420
s2,ML-KEM-768,3,keygen,1916058,11977,3448,346688,346476,17420
s2,ML-KEM-768,3,encaps,2243568,14024,3715,346688,346476,17420
s2,ML-KEM-768,3,decaps,2637913,16488,4697,346688,346476,17420
s2,ML-KEM-768,4,keygen,1911630,11950,2838,346688,346476,17420
s2,ML-KEM-768,4,encaps,2244311,14032,3609,346688,346476,17420
s2,ML-KEM-768,4,decaps,2638821,16494,4726,346688,346476,17420
s2,ML-KEM-768,5,keygen,1914844,11970,3143,346688,346476,17420
s2,ML-KEM-768,5,encaps,2244745,14034,4082,346688,346476,17420
s2,ML-KEM-768,5,decaps,2639207,16496,4222,346688,346476,17420
s2,ML-KEM-768,6,keygen,1912872,11957,3515,346688,346476,17420
s2,ML-KEM-768,6,encaps,2244358,14032,4133,346688,346476,17420
s2,ML-KEM-768,6,decaps,2637872,16488,4537,346688,346476,17420
s2,ML-KEM-768,7,keygen,1910402,11942,2971,346688,346476,17420
s2,ML-KEM-768,7,encaps,2242922,14020,3636,346688,346476,17420
s2,ML-KEM-768,7,decaps,2637038,16482,4145,346688,346476,17420
s2,ML-KEM-768,8,keygen,1913938,11965,3463,346688,346476,17420
