scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent,encaps_us,ss_enc_hex,ss_valid
s1,ML-KEM-1024,0,2943310,3993334,18397,24959,133362,89910,0,78130,16075058,8574679,-17,0,bbb51ced9d0378c27146d2b03465e0ae7e36e8ba8ed4241797a29a492d709573,1572,1572,58,220388,215392,10836,32.51,5789,bbb51ced9d0378c27146d2b03465e0ae7e36e8ba8ed4241797a29a492d709573,1
s1,ML-KEM-1024,1,2938615,4008322,18368,25055,154625,111114,21204,88132,15998115,8539282,-16,0,5c555fb96f3b305d29ba77be7515cb08211e70bc9ff69ecf8ff2259f379d965e,1572,1572,58,219972,214756,10804,28.08,2195,5c555fb96f3b305d29ba77be7515cb08211e70bc9ff69ecf8ff2259f379d965e,1
s1,ML-KEM-1024,2,2941023,3862438,18383,24142,116611,71258,39856,68228,16168034,8634043,-16,0,185b815efe68613a1fcb2633d4408887d12201b851adbf6b545d95df1c39df80,1572,1572,58,219760,214544,10804,36.47,4104,185b815efe68613a1fcb2633d4408887d12201b851adbf6b545d95df1c39df80,1
s1,ML-KEM-1024,3,2963590,4008584,18524,25055,237811,194144,122886,131787,16010821,8544053,-16,0,0e29f0edc471b39dbf391588a7334c15bc349ffac9fb68cc8f5f7df440794ca0,1572,1572,58,219548,214332,10804,18.33,45121,0e29f0edc471b39dbf391588a7334c15bc349ffac9fb68cc8f5f7df440794ca0,1
s1,ML-KEM-1024,4,2964279,3899836,18528,24375,141819,96188,97956,81219,16092341,8590430,-16,0,fbe7cedd7f0d0ff7bc8b8cede121458318d6a0942cb80f050909f5cde8983fb0,1572,1572,58,219336,214120,10804,30.25,12404,fbe7cedd7f0d0ff7bc8b8cede121458318d6a0942cb80f050909f5cde8983fb0,1
s1,ML-KEM-1024,5,2941988,4021404,18389,25135,113006,69393,26795,65082,16187550,8633332,-16,0,1b0593d75ee8fb71d643e0c34a5347ffd3394847acbd2848eea8ee63e7dd30c8,1572,1572,58,219100,213888,10804,38.51,2108,1b0593d75ee8fb71d643e0c34a5347ffd3394847acbd2848eea8ee63e7dd30c8,1
s1,ML-KEM-1024,6,2940040,3861776,18377,24138,113889,68678,715,65519,16013620,8530724,-16,0,3d089e48afc3f0c0b666d87822a9a063d0d25f8a3ba4087ffbd4b3d4f5f78bcb,1572,1572,58,218888,213676,10804,37.33,3696,3d089e48afc3f0c0b666d87822a9a063d0d25f8a3ba4087ffbd4b3d4f5f78bcb,1
s1,ML-KEM-1024,7,2940491,3862278,18380,24141,115523,70320,1642,66868,16012558,8534247,-17,0,a37e89404125f178fd277e7a0ae6c096a86d42dffbe42050fd0cd97127e2ded9,1572,1572,58,218920,213676,10804,36.81,3158,a37e89404125f178fd277e7a0ae6c096a86d42dffbe42050fd0cd97127e2ded9,1
s1,ML-KEM-1024,8,2939445,3988882,18373,24931,108742,65349,4971,62488,16010959,8530191,-15,0,f9a13625f5972498025a7e65455eafe2990239ac63e48b540e7fd58784739a94,1572,1572,58,218916,213676,10804,39.82,1736,f9a13625f5972498025a7e65455eafe2990239ac63e48b540e7fd58784739a94,1
s1,ML-KEM-1024,9,3063609,3988742,19149,24931,112375,68205,2856,66105,16015882,8543414,-17,0,a2b4b45970e1154930cd0ced68e48e0eab4c87afb31cecbd44e0cecd3a35002d,1572,1572,58,218920,213676,10804,39.23,2796,a2b4b45970e1154930cd0ced68e48e0eab4c87afb31cecbd44e0cecd3a35002d,1
s1,ML-KEM-1024,10,2985389,4041994,18660,25266,112714,68693,488,65968,16022759,8550713,-16,0,ae1bb44f43fa7e85ead9d57132804d41b99d2c99c3fb265a43855c620ac576d0,1572,1572,58,218912,213676,10804,38.97,2182,ae1bb44f43fa7e85ead9d57132804d41b99d2c99c3fb265a43855c620ac576d0,1
s1,ML-KEM-1024,11,2964197,3905480,18528,24411,112335,66809,1884,64133,16005218,8497975,-17,0,7f3367c71f333916768afecc3eae45b83623183b9da20ab2c473688f3cfae498,1572,1572,58,218904,213676,10804,38.22,2176,7f3367c71f333916768afecc3eae45b83623183b9da20ab2c473688f3cfae498,1
s1,ML-KEM-1024,12,2941222,3860176,18384,24127,112566,67252,443,66494,16012849,8489855,-17,0,57e3b1bf9aa93871298abfbcad707eed817db54e0c5dd887e2a8f99deab64559,1572,1572,58,218904,213676,10804,37.77,2172,57e3b1bf9aa93871298abfbcad707eed817db54e0c5dd887e2a8f99deab64559,1
s1,ML-KEM-1024,13,2940669,3867541,18381,24173,112082,66698,554,63805,16015419,8535221,-16,0,80791f46d0e00b9f013c78f92207b3db84199ce23f76c9d1e2cba47311d3ec0a,1572,1572,58,218904,213676,10804,37.97,2100,80791f46d0e00b9f013c78f92207b3db84199ce23f76c9d1e2cba47311d3ec0a,1
s1,ML-KEM-1024,14,2940603,3884818,18380,24281,115166,69768,3070,66482,16010262,8503263,-17,0,67d7c8849ab6b99962922e98c58673207e418c2574703045e598e4844b3c55a4,1572,1572,58,218912,213676,10804,37.04,2072,67d7c8849ab6b99962922e98c58673207e418c2574703045e598e4844b3c55a4,1
s1,ML-KEM-1024,15,2939065,3866653,18371,24168,111955,66828,2940,64809,16014541,8506510,-16,0,b8c3c23f30220bc3a52072269f02ebf8efb6606af9be084e16f5912e92023e8a,1572,1572,58,218912,213676,10804,38.00,2130,b8c3c23f30220bc3a52072269f02ebf8efb6606af9be084e16f5912e92023e8a,1
s1,ML-KEM-1024,16,3060493,3865191,19130,24158,110984,64977,1851,63977,16010137,8533301,-16,0,bce9105bbbf8806a9c947fde05214cd54d52feb6ff62517b4f9af599f7494835,1572,1572,58,218916,213676,10804,39.00,2101,bce9105bbbf8806a9c947fde05214cd54d52feb6ff62517b4f9af599f7494835,1
s1,ML-KEM-1024,17,2959381,3857442,18497,24110,109989,64818,159,63140,16015995,8532205,-16,0,08880d0d50f1626c37081f8545139971ddd404e92b4b17180c2d4314e8d83a24,1572,1572,58,218920,213676,10804,38.74,2078,08880d0d50f1626c37081f8545139971ddd404e92b4b17180c2d4314e8d83a24,1
s1,ML-KEM-1024,18,2941085,3867266,18383,24171,113968,68630,3812,66700,16014248,8526401,-16,0,76a3a6bf785d25db1cca4a3e76d6684176224da324570ee662c759fa59f608d8,1572,1572,58,218912,213676,10804,37.34,3135,76a3a6bf785d25db1cca4a3e76d6684176224da324570ee662c759fa59f608d8,1
s1,ML-KEM-1024,19,2988542,4033778,18679,25213,109870,65725,2905,63976,16012277,8525905,-16,0,78564bb659a15555da9b2a00ebbe30010efa19a981230bc63482c4bcd3aea87d,1572,1572,58,218912,213676,10804,39.95,2106,78564bb659a15555da9b2a00ebbe30010efa19a981230bc63482c4bcd3aea87d,1
s1,ML-KEM-1024,20,2941361,3990468,18385,24942,110745,67329,1604,65548,16015890,8537297,-16,0,4d0166a5ed00cc92c751707dc3e487e950371bb4f6d2aff54584cbba8ecc897b,1572,1572,58,218912,213676,10804,39.12,2289,4d0166a5ed00cc92c751707dc3e487e950371bb4f6d2aff54584cbba8ecc897b,1
s1,ML-KEM-1024,21,2940567,3868986,18380,24183,112191,67062,267,64669,15990404,8523554,-16,0,a229d40e88fe40abcea6b2cbf033859331f64d310c3f6df2e21c9dca4f8840f3,1572,1572,58,218912,213676,10804,37.94,2067,a229d40e88fe40abcea6b2cbf033859331f64d310c3f6df2e21c9dca4f8840f3,1
s1,ML-KEM-1024,22,2941099,3860593,18383,24130,112457,67136,74,65879,16038673,8547655,-16,0,187dc204c89e5028509ce6c9d2d8dc591919ed5d007749bd29d5d2e4461cb663,1572,1572,58,218912,213676,10804,37.80,2584,187dc204c89e5028509ce6c9d2d8dc591919ed5d007749bd29d5d2e4461cb663,1
s1,ML-KEM-1024,23,2940276,3858598,18378,24117,111414,66244,892,65324,16012970,8537300,-16,0,8561a370f098ea212b0a2e995490fae4614e0e92dc525dd19e96a17db37a29f4,1572,1572,58,218920,213676,10804,38.14,2338,8561a370f098ea212b0a2e995490fae4614e0e92dc525dd19e96a17db37a29f4,1
s1,ML-KEM-1024,24,2940738,3890970,18381,24320,113344,67928,1684,66186,15989360,8520623,-17,0,67b1698664a27265c1e4b85af61f5ee5f47ef059d5b26b99080ef096220f4501,1572,1572,58,218916,213676,10804,37.67,2125,67b1698664a27265c1e4b85af61f5ee5f47ef059d5b26b99080ef096220f4501,1
s1,ML-KEM-1024,25,2938631,3863182,18368,24146,112719,67408,520,66063,16038521,8540992,-16,0,382855f96b1e5bffb08ad761719727d775ccb44603252e465f6efab025001bf5,1572,1572,58,218912,213676,10804,37.72,2068,382855f96b1e5bffb08ad761719727d775ccb44603252e465f6efab025001bf5,1
s1,ML-KEM-1024,26,2940990,4075834,18383,25475,113974,68965,1557,65920,15988818,8519312,-16,0,a7f4188bd6147850246948906690951a36f64ce8be9a2347b8d1ef02124e5a9e,1572,1572,58,218912,213676,10804,38.48,2361,a7f4188bd6147850246948906690951a36f64ce8be9a2347b8d1ef02124e5a9e,1
s1,ML-KEM-1024,27,2938788,3863238,18368,24146,110692,65383,3582,65165,16035843,8542599,-16,0,5949f428d468887c9a44e58d285813f51de8d1870401a03b1674580df376a360,1572,1572,58,218912,213676,10804,38.41,2068,5949f428d468887c9a44e58d285813f51de8d1870401a03b1674580df376a360,1
s1,ML-KEM-1024,28,2938607,3893408,18368,24334,110919,65358,25,63812,16018320,8535285,-16,0,f02dff419b5a2a742d4e7cd88bc7ba730a3a5944a2c22998817d0aed7452c0f8,1572,1572,58,218912,213676,10804,38.50,2365,f02dff419b5a2a742d4e7cd88bc7ba730a3a5944a2c22998817d0aed7452c0f8,1
s1,ML-KEM-1024,29,2940521,3862968,18380,24144,112914,67698,2340,64762,16011141,8535235,-16,0,40c34e12a2ecb6549db2ef71c045dbc25e5283c1fd0f424a41f025262449f449,1572,1572,58,218912,213676,10804,37.66,2189,40c34e12a2ecb6549db2ef71c045dbc25e5283c1fd0f424a41f025262449f449,1
s1,ML-KEM-1024,30,2940836,3871776,18381,24199,118141,72861,5163,68192,16012809,8530690,-16,0,48722a5a7e6fbc54182f3e897cf3d5b199a932889d681b9d56d2ea14075a5774,1572,1572,58,218912,213676,10804,36.04,2075,48722a5a7e6fbc54182f3e897cf3d5b199a932889d681b9d56d2ea14075a5774,1
s1,ML-KEM-1024,31,2941177,3859248,18384,24121,112440,67090,5771,65293,16008090,8531131,-16,0,592dd9d22fe29d32a1883d907119d404a2d578e273a2a500153cc65deaa86ae4,1572,1572,58,218920,213676,10804,37.80,2058,592dd9d22fe29d32a1883d907119d404a2d578e273a2a500153cc65deaa86ae4,1
s1,ML-KEM-1024,32,2940163,3864350,18377,24154,115051,69748,2658,69650,16013548,8534707,-16,0,574835ef163a2d5c328f0ae1fd85cf76383cf268d6b0e4664ab01422c167c834,1572,1572,58,218916,213676,10804,36.97,2666,574835ef163a2d5c328f0ae1fd85cf76383cf268d6b0e4664ab01422c167c834,1
s1,ML-KEM-1024,33,2940663,3862441,18381,24141,109546,64206,5542,63688,16014442,8534820,-16,0,750a76012ad4d1a7712c0325448fe48e1047d3ff4fce4c80d40e43d1ed9667e7,1572,1572,58,218920,213676,10804,38.82,2092,750a76012ad4d1a7712c0325448fe48e1047d3ff4fce4c80d40e43d1ed9667e7,1
s1,ML-KEM-1024,34,2938940,3866370,18370,24166,112963,67636,3430,65316,16012901,8529410,-16,0,5f80e1e0d7021f7e6af081ef8ebf506d6d6bc73648070a60be1e036af61817ee,1572,1572,58,218912,213676,10804,37.65,3183,5f80e1e0d7021f7e6af081ef8ebf506d6d6bc73648070a60be1e036af61817ee,1
s1,ML-KEM-1024,35,2940573,3863845,18380,24150,111714,66364,1272,64746,16021189,8537502,-16,0,99c275379338bd461102055ce01a2e6ebc8c3234c471db3cb7b9ae79dff3980e,1572,1572,58,218912,213676,10804,38.07,2109,99c275379338bd461102055ce01a2e6ebc8c3234c471db3cb7b9ae79dff3980e,1
s1,ML-KEM-1024,36,2964267,3882669,18528,24267,112618,67023,659,65530,16005849,8528233,-16,0,1596f32cdcbd3c80291625bd620c27e0326f606480c602e39da32749498eaed9,1572,1572,58,218916,213676,10804,38.00,2097,1596f32cdcbd3c80291625bd620c27e0326f606480c602e39da32749498eaed9,1
s1,ML-KEM-1024,37,2940570,3857538,18380,24110,111361,66063,960,63452,16013441,8519124,-16,0,92741f95b41567229f87209097713328f10b40ccf021c069952504330db4c17d,1572,1572,58,218916,213676,10804,38.16,2083,92741f95b41567229f87209097713328f10b40ccf021c069952504330db4c17d,1
s1,ML-KEM-1024,38,2940758,3867700,18381,24174,108931,63476,2587,62654,15988745,8517338,-16,0,97253d692236ff7d2d1322acf96b920683547490f05477e85794131926a96926,1572,1572,58,218916,213676,10804,39.07,499,97253d692236ff7d2d1322acf96b920683547490f05477e85794131926a96926,1
s1,ML-KEM-1024,39,2939091,3860662,18370,24130,115499,70326,6850,66701,16042281,8551567,-16,0,f298880bd170af34d80aeb423d8343fefe2d392f48dd39c7065dbb4c42b45d6d,1572,1572,58,218916,213676,10804,36.80,4440,f298880bd170af34d80aeb423d8343fefe2d392f48dd39c7065dbb4c42b45d6d,1
s1,ML-KEM-1024,40,2940375,3860768,18379,24131,109650,64321,6005,63961,16013195,8538832,-16,0,1d3ae117e320e113dbbe2469aa2bde84742232d3ef2de8b8ea399a0761c5c132,1572,1572,58,218908,213676,10804,38.77,2211,1d3ae117e320e113dbbe2469aa2bde84742232d3ef2de8b8ea399a0761c5c132,1
s1,ML-KEM-1024,41,2939217,3880420,18372,24256,113987,68497,4176,67458,15988297,8472854,-16,0,c44ea23c092e31e126e0a43701faa33f4e043ff35e5781f115af29b6d89a7c71,1572,1572,58,218908,213676,10804,37.40,2186,c44ea23c092e31e126e0a43701faa33f4e043ff35e5781f115af29b6d89a7c71,1
s1,ML-KEM-1024,42,2940371,3859369,18379,24122,112578,67342,1155,65160,16037246,8470117,-16,0,ede53c977c9d6975b6d91ef814d6af07bf98f5ae31a36682965d42b34d7d2882,1572,1572,58,218896,213676,10804,37.75,2944,ede53c977c9d6975b6d91ef814d6af07bf98f5ae31a36682965d42b34d7d2882,1
s1,ML-KEM-1024,43,2941568,3857079,18386,24108,316095,271106,203764,173210,16013862,8496504,-16,0,8fc486a8deb12d90517a486bf43cd6dda648317c15bfc6aaef3fb7061b22e97e,1572,1572,58,218896,213676,10804,13.44,2280,8fc486a8deb12d90517a486bf43cd6dda648317c15bfc6aaef3fb7061b22e97e,1
s1,ML-KEM-1024,44,2940620,3859555,18380,24123,118012,72750,198356,68310,16013846,8549961,-16,0,f0ab419195043ef23ccb1f7d0dc8faa9ff578de898c2aa7a9c009dcc88b53191,1572,1572,58,218916,213676,10804,36.02,2143,f0ab419195043ef23ccb1f7d0dc8faa9ff578de898c2aa7a9c009dcc88b53191,1
s1,ML-KEM-1024,45,2941145,3897230,18383,24359,112860,67281,5469,65293,16007537,8549452,-16,0,70cfaa4ddfa3c0e93df13c22613e6c8f563dfa13ce722850bf568656a5718771,1572,1572,58,218912,213676,10804,37.87,2086,70cfaa4ddfa3c0e93df13c22613e6c8f563dfa13ce722850bf568656a5718771,1
s1,ML-KEM-1024,46,2964113,4008590,18527,25057,109940,66266,1015,63972,16014218,8533934,-16,0,074fab9110ecdec80339da655c10619307fe24fbd74ed375b8cf49572793896a,1572,1572,58,218912,213676,10804,39.64,2599,074fab9110ecdec80339da655c10619307fe24fbd74ed375b8cf49572793896a,1
s1,ML-KEM-1024,47,2941912,3863570,18388,24148,110615,65258,1008,63005,16016205,8525824,-17,0,2a1387f76accffcb107f2b968e4f2bfe2d36c0ee2d5de5c8578c582d2edc2c4e,1572,1572,58,218916,213676,10804,38.45,2071,2a1387f76accffcb107f2b968e4f2bfe2d36c0ee2d5de5c8578c582d2edc2c4e,1
