scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent,encaps_us,ss_enc_hex,ss_valid
s1,ML-KEM-1024,0,3138792,3867632,19619,24174,120359,73848,0,71933,0,0,-16,0,81ffeef81ecf5243181da1293a29d435b722c43c410c2a2a517d4619c6f5d555,1572,1572,58,220492,215284,10836,36.39,2310,81ffeef81ecf5243181da1293a29d435b722c43c410c2a2a517d4619c6f5d555,1
s1,ML-KEM-1024,1,3133989,3880938,19591,24257,75091,28448,45400,46352,0,0,-16,0,47f2c7327e3d4812b4389e47ca7caecc29d099d76f4bcc70bdb199e3d8376ffe,1572,1572,58,220268,215052,10836,58.39,3348,47f2c7327e3d4812b4389e47ca7caecc29d099d76f4bcc70bdb199e3d8376ffe,1
s1,ML-KEM-1024,2,2962973,4026074,18520,25164,66773,22997,5451,42430,0,0,-16,0,f998d5196a3ca31a0a3e2f43d8d93f4809768aced63b8530aa0363dca7632fa3,1572,1572,58,220268,215052,10804,65.42,478,f998d5196a3ca31a0a3e2f43d8d93f4809768aced63b8530aa0363dca7632fa3,1
s1,ML-KEM-1024,3,3098326,3868153,19367,24177,70447,24137,1140,44049,0,0,-16,0,1667121068169f4a44f8d4cf5bf2bf39959550661c98cbc02349a886b18c587d,1572,1572,58,220268,215052,10804,61.81,1481,1667121068169f4a44f8d4cf5bf2bf39959550661c98cbc02349a886b18c587d,1
s1,ML-KEM-1024,4,3138341,4015506,19616,25098,66428,21621,2516,42551,0,0,-16,0,7da39b1ada0c2c56054487da2e6ece57cb2325a3cdf2f6c0cc12020442a2ca49,1572,1572,58,220268,215052,10804,67.31,1052,7da39b1ada0c2c56054487da2e6ece57cb2325a3cdf2f6c0cc12020442a2ca49,1
s1,ML-KEM-1024,5,3105130,3858591,19409,24117,73626,27235,5614,46372,0,0,-16,0,4e19b2cc2bb3d03df30f7129be2cd549836d54c2abb123d3919fee10594377a7,1572,1572,58,220268,215052,10804,59.12,1764,4e19b2cc2bb3d03df30f7129be2cd549836d54c2abb123d3919fee10594377a7,1
s1,ML-KEM-1024,6,3096615,4010573,19355,25068,71308,26793,442,44644,0,0,-16,0,c68aa55ba5e2e3fbc27e2c68ae9594e8384d47c8f164ca0cbce16f40dc38e1d9,1572,1572,58,220268,215052,10804,62.30,2086,c68aa55ba5e2e3fbc27e2c68ae9594e8384d47c8f164ca0cbce16f40dc38e1d9,1
s1,ML-KEM-1024,7,3200786,3989396,20006,24935,64709,19664,7129,41492,0,0,-16,0,be468a56018f4589dca92844c3b144a576a06de5de219e9acfdef67c68fcfca9,1572,1572,58,220268,215052,10804,69.45,480,be468a56018f4589dca92844c3b144a576a06de5de219e9acfdef67c68fcfca9,1
s1,ML-KEM-1024,8,3143104,3880818,19646,24256,66868,20340,676,43047,0,0,-16,0,2fc10b2ff8c754e5682de311ff8a9e3f99983cb01bec4aa6db9ee01c92d32fcc,1572,1572,58,220268,215052,10804,65.65,466,2fc10b2ff8c754e5682de311ff8a9e3f99983cb01bec4aa6db9ee01c92d32fcc,1
s1,ML-KEM-1024,9,3101783,3901415,19388,24385,81588,34915,14575,52801,0,0,-16,0,47fc0e4411c58414287a96c43aef48e5f6cbd3a4be49e0598f89e058c3aa8848,1572,1572,58,220268,215052,10804,53.65,2043,47fc0e4411c58414287a96c43aef48e5f6cbd3a4be49e0598f89e058c3aa8848,1
s1,ML-KEM-1024,10,3116280,3866871,19478,24169,69511,22960,11955,43214,0,0,-16,0,5995e7ddca70dfa9176b51697ea9df75119efc815639e645dedeef49f0f7939f,1572,1572,58,220268,215052,10804,62.79,1114,5995e7ddca70dfa9176b51697ea9df75119efc815639e645dedeef49f0f7939f,1
s1,ML-KEM-1024,11,3117657,3981435,19487,24885,69126,24656,1696,42878,0,0,-16,0,80829c192e26dcded63076424837f084493fdc8da4453f65722d3850e3997a14,1572,1572,58,220268,215052,10804,64.19,2120,80829c192e26dcded63076424837f084493fdc8da4453f65722d3850e3997a14,1
s1,ML-KEM-1024,12,2941398,3864503,18385,24154,69529,24127,529,43404,0,0,-17,0,d2a1d8081e15cbe0a0b780bf57fd3057596140ce30053905b28152dda6f47fe4,1572,1572,58,220268,215052,10804,61.18,468,d2a1d8081e15cbe0a0b780bf57fd3057596140ce30053905b28152dda6f47fe4,1
s1,ML-KEM-1024,13,3117736,3932185,19488,24577,71836,25034,907,45699,0,0,-17,0,9bf62dbd7eb34be68d37c4c96ec388c9822d2f1d336c6b83857af34d8d6f2d5a,1572,1572,58,220268,215052,10804,61.34,1860,9bf62dbd7eb34be68d37c4c96ec388c9822d2f1d336c6b83857af34d8d6f2d5a,1
s1,ML-KEM-1024,14,3096412,3866936,19354,24169,69091,22696,2338,44075,0,0,-17,0,c6cb0e0a8a77b372b93a2387dd6ef279f6336ceba584ae7cdc6bb579e968a8de,1572,1572,58,220268,215052,10804,62.99,1222,c6cb0e0a8a77b372b93a2387dd6ef279f6336ceba584ae7cdc6bb579e968a8de,1
s1,ML-KEM-1024,15,3110000,4009493,19439,25061,70198,25605,2909,43510,0,0,-17,0,452410f2da3071718b573fcc64d1399eb2a63f5dc2d12cff3ef269f963f96902,1572,1572,58,220268,215052,10804,63.39,4050,452410f2da3071718b573fcc64d1399eb2a63f5dc2d12cff3ef269f963f96902,1
s1,ML-KEM-1024,16,3102848,4020707,19395,25133,73084,28463,2858,46294,0,0,-17,0,f09426875a2a851c88a8c6d322252ea327313a45d159d69dce6b7537e18fb337,1572,1572,58,220268,215052,10804,60.93,2040,f09426875a2a851c88a8c6d322252ea327313a45d159d69dce6b7537e18fb337,1
