iter,variant,encaps_us,ss_enc_hex
62,1024,2100,9027251dd863e4ef6d7e2a5d4886470f59bd810a0013d69ce546e9c7e807c910
63,1024,3311,52d3e76ae7d1d4e09be96d9dc2c1e73a4ced42afe62053909426bab52bcc8d6f
64,1024,1541,091fe65351b8119a3a6f43a7933af9ea77ced6608ab14bf424769148b45c4691
65,1024,2735,27e23e1d2dd308bd63c5aafb0292cad7ee0e31e1f30614aaf3749dc518398569
66,1024,1446,053ae3a988c02b70e9a79fe107e1be0295c7a7c0306b1031153733b171c30cba
67,1024,2205,4a4742ee13b400cad8805bd2c8c968b6a4a40234a8230db674b64d5d304fde53
68,1024,2067,06f601990f95d48f2564962b15ba77578f819dda5279c5960b221788b8f2999c
69,1024,2478,0015c5d9b705511c987a024c34f3d1404499a379396f0ca80ec9602199875df0
70,1024,2028,1a1aa0281dc576f1733739d4c10f5f1abcd5bc9388a2834f5980a2abecfee94d
71,1024,2037,c9e645d3e86f1952c7beb72baef76aad7c15cfdd8694461d84cd8498872678bc
72,1024,2362,4244ff79ca88dc180294d52fe6135c02572862d553a47e4ebe5167acbf7b8b39
73,1024,1227,b8dadf52661da67be00c967fc0835d22d51c1019afe3bc1f318634ca5f59e0c0
74,1024,2022,0f1d09dc1b6143f90718403574a1691b139531d286925ff03cc47da36c0eab36
75,1024,2034,28baf443be7f41ae15bf7677be3f593811db70543e90d6e5c3e8b83889324147
76,1024,2445,3b439b4200b65ddf9058dcb0622845762e4b4a0ab546fd5363511195bf1d0830
77,1024,2366,75e40264516f4184c0d8f9e7e945068b34f8424f059b19e6ff94788012126892
78,1024,2061,a3409e99bb0ea300775f7dbbdf731a61cc8e84da4f267a04d80a277b9846fd0d
79,1024,2040,d81de800dc053cd40cc2b47bda79298babed49e073e76517fc62d2f2161a7095
80,1024,617,65c314fb74ebba0d65ccc9648d825cc964d7a9036661d127e3b7bf6cefb72bff
81,1024,2001,80a3537db05cc0291af2bbb57f7ebea9fc4af698599bfb3bf6616e9849daf26a
82,1024,1527,614a349f7c3f100a4144a16c7908e945a8229a1c19f0907263ca1ee03abb2975
83,1024,2184,c6c9b42f7224a54b53d8bedc3bc6adbcfb4101a4318f5b1e3d4972731a4d4f8f
84,1024,2067,a410cf9fe0e385b40dcf6dce3643c1a5e3f079c271193ca2c12d6531a0702d19
85,1024,2213,6fd7b9c544afc93f8fd0749ff07a1b88b2cde8fb7ef8a04d2b0eab516e79d3d5
86,1024,2706,01a776ad1d2a1249662c1574450864ed8f571391eec10c1182a3998cba4cff22
87,1024,2230,ade7904d6b4d8648c8b805cdcd7a36393e0691bcac63037d654a78ee9274a264
88,1024,2044,25c256866826beec03da2c4e406710833170179ca5bea073c6da5ae000d86046
89,1024,2049,9262da3f2099b03f3c79c3c664cbb6381c3870c57dbbb7b989c519897f728f73
90,1024,2269,50321516d0d309132b52b39d964fac1bc6ca512c23a0c3a031ec4b751d537947
91,1024,2044,3f311abf87e39366441ca03bf59242adef66e7067a12614a6eee27b1652889f9
92,1024,2017,ae13051508a91920cad5efba02908a35b3f91873d3c357ef9b9fb9087d3c6622
93,1024,704,6fe0c268f444c013c200a6f83831dac42451f1872c36eeaadaa9463fac7e51ab
94,1024,1025,ce9b040464b85d908f92f256a89bc3fa76a7d86699cd2a534640685210be4f80
95,1024,882,2cf3167e94eea4fb5b5e224afd82c8cc083e30cf6dcabe33e9170388d9a141a3
96,1024,2056,1c50aa3bf469617ac33ee23188026429621fd7c4507dd7644b873af5f72a9531
97,1024,2034,6a33840e3e3873bccd2712a3bbf94a010d78e7ae517b0daf21dca90d2c4c6f3b
98,1024,2137,7112c6b157897d1d21cd2ff40fd720f9e9eb5fc001aee7b0bf0989ce8a224158
99,1024,2186,e571c1589d498ed86f1bc952781667cc10a1104f35a9200b80f1fd755db5a775
