scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent
s1,ML-KEM-512,0,1658208,1997588,10367,12486,40049,17103,0,25293,0,0,-23,0,a25e3671532aa5ab8d7238814081344268bc85c46a548ac42ee94986981d0114,804,772,58,225224,222264,21892,57.06
s1,ML-KEM-512,1,1277506,1899152,7986,11871,58725,36096,18993,36138,0,0,-23,0,2bf2d8035ebcd81d69226c1de7199a1e37abe3a3cc2bc4f683f3022f3628bfe2,804,772,58,224996,220548,21892,33.81
s1,ML-KEM-512,2,1277674,1995147,7988,12471,53842,33297,2799,33392,0,0,-23,0,209b41f98050f6848a6a0991f91454b9d800199415f7c59fb6a009b691266feb,804,772,58,224980,220548,21892,38.00
s1,ML-KEM-512,3,1293228,1871449,8085,11698,59391,36912,3615,35635,0,0,-23,0,abd2a8bfbf61d76e83d90fea5f6bc99d84c0dd9d914b6a1ddb4bb9c92515e817,804,772,58,224980,220548,21892,33.31
s1,ML-KEM-512,4,1279220,2030569,7997,12692,54794,34021,2891,32947,0,0,-23,0,9e5cd28e5c16418d22da9c2f8390b0e162dff9e9e20652b2fa10b5eee5b58666,804,772,58,224980,220548,21892,37.76
s1,ML-KEM-512,5,1276456,2089938,7980,13064,55788,33725,296,34332,0,0,-23,0,46e7a6008d9a0cfb11f332bc09ea786bb7a76204117b1c0e74ff7e843df9860e,804,772,58,224980,220532,21892,37.72
s1,ML-KEM-512,6,1294354,1989599,8091,12436,52968,32355,1370,31959,0,0,-23,0,81472f97afdc7c734e878f8e27242b0e62aec30a64122bf1e07ce08516a8bf19,804,772,58,224980,220532,21892,38.75
s1,ML-KEM-512,7,1276781,1869419,7982,11685,56313,33861,1506,33619,0,0,-23,0,e91720c0ad8b3f6e3591ae8c9b93d0a39ea8a380bfcc397be7064742e83f4809,804,772,58,224980,220532,21892,34.92
s1,ML-KEM-512,8,1278360,1866428,7991,11666,53986,31843,2018,32984,0,0,-23,0,599689d9095913c0d6bc9acd9f5e93b8440fc49e18efac717e89ad91176e69c5,804,772,58,224980,220532,21860,36.41
s1,ML-KEM-512,9,1278647,2022775,7993,12644,54493,33770,1927,32915,0,0,-23,0,9d59b2eedc73c7eb920651f9258d7e64ef0e85f5d63607478b34ee9c9cd339dd,804,772,58,224980,220532,21860,37.87
s1,ML-KEM-512,10,1299290,1994893,8122,12469,56838,36160,2390,34069,0,0,-23,0,a8698c104067ba249c6e40f3bbfbfa3a9dae1df39e0116af5dfff5ad201f3e6a,804,772,58,224980,220532,21860,36.23
s1,ML-KEM-512,11,1275222,1882660,7972,11774,59522,36985,825,36073,0,0,-23,0,fafafce43d730bfc7058425938b6319aaf4cf9769218b8d01e0f76688db2264c,804,772,58,224980,220532,21860,33.17
s1,ML-KEM-512,12,1276618,1989465,7980,12435,51964,31463,5522,31474,0,0,-23,0,010bd6b8d798cda481f90b2479bdd888fcfe78270de8447795e7c87ef8a259e3,804,772,58,224980,220532,21860,39.29
s1,ML-KEM-512,13,1275930,1864104,7977,11652,57227,34797,3334,34776,0,0,-23,0,b1ca82d930b93283938b4eba0618200a2f7cfe8b1d079138f28db49d8262d529,804,772,58,224980,220532,21860,34.30
