scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent
s1,ML-KEM-512,23,1277910,1874992,7988,11719,60069,37532,3117,36534,0,0,-21,0,a1c8235483816736c009a24e6ca2928ef31d6cd9962385350bffe6b51a86f555,804,772,58,225004,220548,21860,32.81
s1,ML-KEM-512,24,1276094,2027173,7978,12671,54522,33793,3739,33244,0,0,-21,0,9aa57b71d5802a2ca4fe16a0d447a3ed97710769a5a32b3190abe1793f74ea4f,804,772,58,225004,220548,21860,37.87
s1,ML-KEM-512,25,1278426,1910277,7992,11941,60925,38217,4424,37217,0,0,-21,0,7644b8b80c5ae9eca3a5bd8fe27e1f039dae7afeed265d20df8362e3181595c1,804,772,58,225004,220548,21860,32.72
s1,ML-KEM-512,26,1280750,2013661,8007,12586,54648,33969,4248,32561,0,0,-21,0,850ad115d120d46a999197532cbd54d185815481501575886e3a3dcfb4cb8342,804,772,58,225004,220548,21860,37.68
s1,ML-KEM-512,27,1281258,1862163,8010,11640,60427,37945,3976,35757,0,0,-21,0,8771e39f419afd9f2249ae4c7b9a617d5b9989abca6a95814338780490b102a1,804,772,58,225004,220548,21860,32.52
s1,ML-KEM-512,28,1275712,1990227,7975,12440,52874,32369,5576,31666,0,0,-21,0,cdf2fcc782cf419003c36e23ca3a10ce78d28ea3e651f62c2d58feb9cf50e3eb,804,772,58,225004,220548,21860,38.61
s1,ML-KEM-512,29,1276653,1864731,7981,11656,57863,35527,3158,34456,0,0,-21,0,b8ff56d8d7075ea5095697ffba37db45689461f6ab77e3104dbef5e0f0ee099f,804,772,58,225004,220548,21860,33.94
s1,ML-KEM-512,30,1279854,1885174,8001,11783,56511,34081,1446,33833,0,0,-21,0,7d9a246c8ee7ffdd00b1cff2bf2657468ec9eae2d19b805a6f8067b7d4e29db2,804,772,58,225004,220548,21860,35.01
s1,ML-KEM-512,31,1303928,1865589,8152,11661,58543,35861,1780,35319,0,0,-21,0,242d64c0fb88f818b6589df5f5b8b25f3032125c727012060df4d8055e4b2616,804,772,58,225004,220548,21860,33.84
s1,ML-KEM-512,32,1280718,1868737,8007,11681,57990,35689,172,35855,0,0,-21,0,5fa3784b36104eeca8833a69e961195e07cdfc88a48435c51e69f99393991cd7,804,772,58,225004,220548,21860,33.95
