scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent
s1,ML-KEM-512,0,1558804,1870248,9744,11690,44766,20782,0,27696,0,0,-23,0,88fcc683d75196c2b9c29f060cb2560dc110ebeb209e0447a0d829dea8caa371,804,772,58,225216,222544,22020,47.88
s1,ML-KEM-512,1,1282092,1881450,8015,11760,65693,43161,22379,38750,0,0,-23,0,eb5295c2751e1e444dcd976fd41e452e4b48235c339b016e8938a416ff46be6f,804,772,58,224996,220756,21892,30.10
s1,ML-KEM-512,2,1278294,2018769,7991,12619,61939,41244,1917,37772,0,0,-23,0,771a7f78bbe8a5842bb11a4e602905252f70a961e5bb2f7afea52899265b7efe,804,772,58,224992,220756,21892,33.27
s1,ML-KEM-512,3,1275002,2032991,7970,12707,54545,33781,7463,33028,0,0,-23,0,9d8281a3c2dd160096d95a2eba304c1710988d9bda6a95c2a6568891a6be28dd,804,772,58,224992,220532,21892,37.91
s1,ML-KEM-512,4,1275286,1985877,7972,12413,55786,35311,1530,34641,0,0,-23,0,bcc77dac92cce38d2219e9c7d3ac168711a4573f060727a5b21afe31fd6589a9,804,772,58,224992,220532,21892,36.54
s1,ML-KEM-512,5,1304712,1887622,8156,11799,59025,36549,1238,35343,0,0,-23,0,4774381b58e290d8e5c747faf48a18d64b7e010e560351debb80e04b6e25370c,804,772,58,224992,220532,21892,33.81
s1,ML-KEM-512,6,1290162,2003321,8066,12521,65915,45242,8693,38860,0,0,-23,0,bd6b5d2c8ddad62d06c7689b51e9ca5e21a2f99099e0e8b8f47e86c0df344ba7,804,772,58,224992,220532,21892,31.23
s1,ML-KEM-512,7,1274877,1867004,7971,11670,56430,33928,11314,34891,0,0,-23,0,4535c0564f325900a6bda0a7cde42e83ac79d46f38ba2c7ee04bcea3427e4ffb,804,772,58,224992,220532,21892,34.81
s1,ML-KEM-512,8,1279790,1860707,8000,11630,54381,32126,1802,32395,0,0,-23,0,bb5aab3321518cc9d668efa32df30a99d13df1f5599c643b1c988c6832331760,804,772,58,224992,220532,21892,36.10
s1,ML-KEM-512,9,1276187,1860586,7978,11630,57656,35212,3086,34377,0,0,-23,0,f02ae752c0cf2051c5dca0f3c72b1e649ac7cedb2998dff068e89e1ac7da92c2,804,772,58,224992,220532,21892,34.01
s1,ML-KEM-512,10,1280056,2029738,8002,12687,53836,33062,2150,32037,0,0,-23,0,cdce46fad0d42e17c37fbb5700e159bc0325baeee1196eef6f1dcfe103caeb77,804,772,58,224992,220532,21892,38.43
s1,ML-KEM-512,11,1278744,2089777,7994,13064,57795,35712,2650,35130,0,0,-23,0,623eaee57c66076f61d17036c5e738e32699a8a3fcb26941866800b018620d60,804,772,58,224992,220532,21892,36.44
s1,ML-KEM-512,12,1276096,1887628,7977,11799,53816,31578,4134,32706,0,0,-23,0,c1e06add1637f0a28d0849a11f455f2d2e516e93d34b4232a5e9cbfd1b448ab8,804,772,58,224992,220532,21892,36.75
s1,ML-KEM-512,13,1363178,1872694,8522,11705,54954,31919,341,33674,0,0,-23,0,83e0c8a33d2b5583db75b962f6b62cb5c57e0cc53e3c1443171aeeb29a2eb18f,804,772,58,224992,220532,21892,36.81
s1,ML-KEM-512,14,1276230,1864218,7978,11652,56598,34552,2633,34151,0,0,-23,0,38f29a915f2d3d113df8c7dc81d8281a9e4f67752ca8ca54127c49ddfd7cf84e,804,772,58,224992,220532,21892,34.68
s1,ML-KEM-512,15,1296696,1869511,8106,11686,55009,32445,2107,33341,0,0,-23,0,96edf21ccac741d855af854dc13631de5064d8d8bbbf834768f915a92d77d055,804,772,58,224992,220532,21892,35.98
s1,ML-KEM-512,16,1276045,2011601,7978,12573,54377,33739,1294,33658,0,0,-23,0,3e2ad01bf99aade8821199ae2fe4da6e498173b3ab5d0411ce0d2ec7866a960a,804,772,58,224992,220532,21892,37.79
s1,ML-KEM-512,17,1300624,2046361,8130,12791,57056,36048,2309,34319,0,0,-23,0,8a0d20f690dd217e21457d9bc1218aadc96b7d671ee49d2349920e6c6f85a766,804,772,58,224992,220532,21860,36.67
s1,ML-KEM-512,18,1287734,2059571,8051,12873,56292,35282,766,34934,0,0,-23,0,4ab19faf68a623850951ee7cc1699df368ef05a8428f92a41e72412bccf8ecc9,804,772,58,224992,220532,21860,37.17
s1,ML-KEM-512,19,1277386,1905438,7985,11910,65091,42457,7175,39458,0,0,-23,0,fe6c60fbc82580da50757be2bf305d26d68eb8f68da2fe1e4370a8401b353b7c,804,772,58,224992,220532,21860,30.56
s1,ML-KEM-512,20,1300736,1892341,8131,11828,54516,31931,10526,32473,0,0,-23,0,f7d2230130d10772b1a10295f84a6eaef3cb323ae8b549bbecc417c7e1ed23c4,804,772,58,224992,220532,21860,36.61
s1,ML-KEM-512,21,1281852,1867683,8014,11674,55995,33753,1822,34734,0,0,-23,0,0effcdca8476bc23b3a304aa0da5b4cbd9ba8f2991a607436842c9406a8bf565,804,772,58,224992,220532,21860,35.16
s1,ML-KEM-512,22,1282462,1866717,8017,11668,62223,40042,6289,37133,0,0,-23,0,d800fe3e34e5479c801add2c00b78ac4ba6e2f2ce58e8ca6f1cdcd568d1e8374,804,772,58,224992,220532,21860,31.64
s1,ML-KEM-512,23,1301013,1875827,8133,11725,59679,37079,2963,35454,0,0,-23,0,a5ea12326ea5b2be2df26761f3b09be206d7ba70f4d4e0f1695c0f948657c5bb,804,772,58,224992,220532,21860,33.27
s1,ML-KEM-512,24,1274496,1869080,7967,11683,58448,36187,892,35793,0,0,-23,0,586eba40c88127d3d987d0faeb76b02dd8a7eb8a2bd3452dbe79837c8e6c7f25,804,772,58,224992,220532,21860,33.62
s1,ML-KEM-512,25,1281122,1865290,8008,11659,58758,36333,146,35177,0,0,-23,0,e54579788141faf2cb9ba52dfcbfd349d2d355846d21197d1460fe50cccfcd74,804,772,58,224992,220532,21860,33.47
s1,ML-KEM-512,26,1280214,2006925,8003,12545,55885,35252,1081,34175,0,0,-23,0,407434f60e64e2ca38a884ce318095ab60cd12738b4eb614fb4facd437cfa29a,804,772,58,224992,220532,21860,36.77
s1,ML-KEM-512,27,1276540,1870097,7980,11689,57873,35351,99,35480,0,0,-23,0,d33496eda63a2e67645f29933c84f68f8cc677f24c3b2fbd2caedd42e1832a4d,804,772,58,224992,220532,21860,33.99
s1,ML-KEM-512,28,1302182,1992595,8140,12455,54945,34264,1087,33572,0,0,-23,0,237f48139a66d62716ca706290762488e7178e303bd803377b7974ca5d165405,804,772,58,224992,220532,21860,37.48
s1,ML-KEM-512,29,1277212,2121465,7984,13260,58060,35775,1511,35718,0,0,-23,0,3d37427640139152d9d51246d0580d0aa0395dd7518137df654683e8aa102206,804,772,58,224996,220532,21860,36.59
s1,ML-KEM-512,30,1277777,2007711,7988,12549,55632,35009,766,33832,0,0,-23,0,10dfab830a38e18ac4eea5122f15b1bd90e4873e2b1c423d16ea41712b05f767,804,772,58,224996,220532,21860,36.92
s1,ML-KEM-512,31,1275162,1868990,7972,11682,62674,40222,5213,38064,0,0,-23,0,bb0d7a4a5f387ce226ec539b690fe29f80f7bb749fbe6fe18dca100d48589a53,804,772,58,224996,220532,21860,31.36
s1,ML-KEM-512,32,1276114,1991961,7978,12451,53908,33393,6829,32659,0,0,-23,0,4e90abb28764b77a0ba85515325883b8afbbd25537dd8456e47a72eb654de06c,804,772,58,224996,220532,21860,37.90
