scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent,encaps_us,ss_enc_hex,ss_valid
s1,ML-KEM-512,0,1541399,1930236,9635,12065,41312,19525,0,25313,0,0,-21,0,8a927e15304122f5e4b5b9c1924df9b208011a28547147ab46b5b019c697939d,804,772,58,225216,222544,21940,52.53,1940,8a927e15304122f5e4b5b9c1924df9b208011a28547147ab46b5b019c697939d,1
s1,ML-KEM-512,1,1246602,1772019,7794,11077,64477,42859,23334,38381,0,0,-21,0,fa6cd0b0afe6b8830f89f7407d021b383b45fe084c432c02388d2aa771f1601d,804,772,58,224996,220532,21876,29.27,3242,fa6cd0b0afe6b8830f89f7407d021b383b45fe084c432c02388d2aa771f1601d,1
s1,ML-KEM-512,2,1234339,1795548,7716,11223,57524,35995,6864,34023,0,0,-21,0,3a4e9544ec0a64bfa792ac49b76c7e3c88f56a1fc75c7fd2c180c6fbf8a460c4,804,772,58,224996,220532,21876,32.92,325,3a4e9544ec0a64bfa792ac49b76c7e3c88f56a1fc75c7fd2c180c6fbf8a460c4,1
s1,ML-KEM-512,3,1233497,1774302,7710,11090,55294,33750,2245,33031,0,0,-21,0,31d3d68db45ffb990b0b88c5bff636ca537e273c589cdcb1420b90e81de73893,804,772,58,224996,220532,21876,34.00,825,31d3d68db45ffb990b0b88c5bff636ca537e273c589cdcb1420b90e81de73893,1
s1,ML-KEM-512,4,1232146,1772509,7702,11079,54329,32924,826,32696,0,0,-21,0,b3daec5ed71814b37a1012f9e25613cd2c0a5e05806a5b39db2b79cdd37ec5b3,804,772,58,224996,220532,21876,34.57,601,b3daec5ed71814b37a1012f9e25613cd2c0a5e05806a5b39db2b79cdd37ec5b3,1
s1,ML-KEM-512,5,1232601,1772871,7705,11081,57186,35875,2951,34617,0,0,-21,0,041da177aee79d077771bbe3f50e5bec92bac5bf2561bfd53264d62e5da6de77,804,772,58,224996,220532,21876,32.85,1687,041da177aee79d077771bbe3f50e5bec92bac5bf2561bfd53264d62e5da6de77,1
s1,ML-KEM-512,6,1231763,1773352,7699,11084,59794,38509,2634,36301,0,0,-21,0,32d9056127220752ff8a0a3845b6ca63475cb9341372eb17ee6d95d784f88123,804,772,58,224996,220532,21876,31.41,1274,32d9056127220752ff8a0a3845b6ca63475cb9341372eb17ee6d95d784f88123,1
s1,ML-KEM-512,7,1233033,1785172,7707,11159,58977,37258,1251,35392,0,0,-21,0,30764baa5d3d444a5d7bcc9b5a59e6f0e9b554f832411eedda178bee8790a984,804,772,58,224996,220532,21876,31.99,548,30764baa5d3d444a5d7bcc9b5a59e6f0e9b554f832411eedda178bee8790a984,1
s1,ML-KEM-512,8,1248453,1935518,7804,12098,52153,32165,5093,32122,0,0,-21,0,173d3dec1aa2fd218aa12f99522ce2c0c78f6f91fbc3af615a09705e58073710,804,772,58,224996,220532,21876,38.16,245,173d3dec1aa2fd218aa12f99522ce2c0c78f6f91fbc3af615a09705e58073710,1
s1,ML-KEM-512,9,1231285,1773865,7696,11088,58072,36553,4388,35167,0,0,-21,0,9e4adac9f8353d9c5821e149da18a6cf87fb3f0b367c119027ca53876597b0f6,804,772,58,224996,220532,21876,32.35,284,9e4adac9f8353d9c5821e149da18a6cf87fb3f0b367c119027ca53876597b0f6,1
s1,ML-KEM-512,10,1231741,1928568,7700,12054,55858,36017,536,33701,0,0,-21,0,de276bd8e2141a0913c67fa8e44dee3a20b67d4d0749326fd8476527b6db3c7b,804,772,58,224996,220532,21876,35.36,991,de276bd8e2141a0913c67fa8e44dee3a20b67d4d0749326fd8476527b6db3c7b,1
s1,ML-KEM-512,11,1232811,1769979,7706,11064,58038,36545,528,34772,0,0,-21,0,adf79d8d06826f2e5b3e3444c9425e05f4ebe3b1b5332409f2d41fda59f88e03,804,772,58,224996,220532,21844,32.34,980,adf79d8d06826f2e5b3e3444c9425e05f4ebe3b1b5332409f2d41fda59f88e03,1
s1,ML-KEM-512,12,1234077,1932506,7714,12079,51338,31462,5083,31321,0,0,-21,0,fa6fbfca1979f4783f95c3e9fe7d21413fe6a7ab474355c86295d5fd0f5f6e47,804,772,58,224996,220532,21844,38.55,242,fa6fbfca1979f4783f95c3e9fe7d21413fe6a7ab474355c86295d5fd0f5f6e47,1
s1,ML-KEM-512,13,1253998,1768119,7839,11052,61127,39610,8148,36801,0,0,-21,0,3a84b5c5f6499ca03942c68b10fac2de02caa2497c933aa935d22fcb729554d4,804,772,58,224996,220532,21844,30.90,1037,3a84b5c5f6499ca03942c68b10fac2de02caa2497c933aa935d22fcb729554d4,1
s1,ML-KEM-512,14,1232815,1935192,7706,12096,57061,37174,2436,34808,0,0,-21,0,dfb4693c6175e4645d429445d657c71a213c1356274d4a8fbf0e59a2ee1802c5,804,772,58,224996,220532,21844,34.70,834,dfb4693c6175e4645d429445d657c71a213c1356274d4a8fbf0e59a2ee1802c5,1
s1,ML-KEM-512,15,1231730,1770628,7700,11067,59289,37701,527,35620,0,0,-21,0,5564c93c0ae49977697e56f889f6382ad5051b4ac3b00b1fa852aeaa3d8c8690,804,772,58,224996,220532,21844,31.65,634,5564c93c0ae49977697e56f889f6382ad5051b4ac3b00b1fa852aeaa3d8c8690,1
s1,ML-KEM-512,16,1232517,1787075,7704,11170,53343,31893,5808,32790,0,0,-21,0,0b5b087c19b8f4aa911d40a6690ba3fde25b404357bb68938fc0bfb0106440a1,804,772,58,224996,220532,21844,35.38,240,0b5b087c19b8f4aa911d40a6690ba3fde25b404357bb68938fc0bfb0106440a1,1
s1,ML-KEM-512,17,1231865,1933634,7700,12086,53716,33852,1959,32897,0,0,-21,0,aa297130c4806d05b8c2a042d150edebe73b50c74c685d6497867c0b55ae9a56,804,772,58,224996,220532,21844,36.83,230,aa297130c4806d05b8c2a042d150edebe73b50c74c685d6497867c0b55ae9a56,1
s1,ML-KEM-512,18,1230820,1934470,7693,12091,62638,42772,8920,38020,0,0,-21,0,77e6467fb7c6d45374f6a8d516249d03dc7095770d59711758ac1b6e103a595e,804,772,58,224996,220532,21844,31.58,775,77e6467fb7c6d45374f6a8d516249d03dc7095770d59711758ac1b6e103a595e,1
s1,ML-KEM-512,19,1232466,1778260,7704,11116,60769,39143,3629,36899,0,0,-21,0,3407f1e0eb8104a9617b2aa821356a9e15aaf8a452d645a6c142a9840b308d98,804,772,58,224996,220532,21844,30.97,361,3407f1e0eb8104a9617b2aa821356a9e15aaf8a452d645a6c142a9840b308d98,1
s1,ML-KEM-512,20,1230438,1774858,7692,11094,55385,34123,5020,34004,0,0,-21,0,27cb70f1cd49e1590be0e48d15e9125ebf7debc905435e4bf53f540a81faab22,804,772,58,224992,220532,21844,33.92,966,27cb70f1cd49e1590be0e48d15e9125ebf7debc905435e4bf53f540a81faab22,1
s1,ML-KEM-512,21,1232558,1774854,7704,11093,57303,35776,1653,34430,0,0,-21,0,6fdf0d75118a774ad2838d8662624916043953f307eca62718b8589c78b72720,804,772,58,224992,220532,21844,32.80,230,6fdf0d75118a774ad2838d8662624916043953f307eca62718b8589c78b72720,1
s1,ML-KEM-512,22,1232301,1932812,7703,12081,55813,35944,168,34722,0,0,-21,0,431956d3332f42bb3769c2f604f68b19970cbfd287c8209bef25afbcd8d3f551,804,772,58,224992,220532,21844,35.45,1024,431956d3332f42bb3769c2f604f68b19970cbfd287c8209bef25afbcd8d3f551,1
